id_destination,destination,lon,lat
0,Aigues Mortes,4.19154,43.5661521
1,Aix en Provence,5.4474738,43.5298424
2,Amiens,2.2956951,49.8941708
3,Annecy,6.1288847,45.8992348
4,Ariege,1.4065544156065486,42.9455368
5,Avignon,4.8059012,43.9492493
6,Bayeux,-0.7024738,49.2764624
7,Bayonne,-1.4736657,43.4945144
8,Besancon,6.0243622,47.2380222
9,Biarritz,-1.552726590666314,43.471143749999996
10,Bormes les Mimosas,6.3419285,43.1506968
11,Carcassonne,2.3491069,43.2130358
12,Cassis,5.5396318,43.2140359
13,Chateau du Haut Koenigsbourg,7.344320233724503,48.249410749999996
14,Collioure,3.0831554,42.52505
15,Colmar,7.3579641,48.0777517
16,Dijon,5.0414701,47.3215806
17,Eguisheim,7.3079618,48.0447968
18,Gorges du Verdon,6.3285616,43.7496562
19,Grenoble,5.7357819,45.1875602
20,La Rochelle,-1.1515951,46.159732
21,Le Havre,0.1079732,49.4938975
22,Lille,3.0635282,50.6365654
23,Lyon,4.8320114,45.7578137
24,Marseille,5.3699525,43.2961743
25,Mont Saint Michel,-1.511459954959514,48.6359541
26,Montauban,1.3549991,44.0175835
27,Nimes,4.3600687,43.8374249
28,Paris,2.3483915,48.8534951
29,Rouen,1.0939658,49.4404591
30,Saintes Maries de la mer,4.4277202,43.4515922
31,St Malo,-2.0260409,48.649518
32,Strasbourg,7.7507127,48.584614
33,Toulouse,1.4442469,43.6044622
34,Uzes,4.4196718,44.0121279
